id,gender,masterCategory,subCategory,articleType,baseColour,season,usage,description
15970,رجالي,تياب,تياب قسم علوي,قمصان,كحلي,خريفي,كاجوال,قميص مربعات بألوان كحلي وأبيض وبني غامق. ياقته كحلية غامقة سادة، وكمامو فيك ترفعن وتثبتن بأزرار
39386,رجالي,تياب,تياب قسم سفلي,جينزات,أزرق,صيفي,كاجوال,بنطلون جينز رجالي لونه كحلي غامق مع شوية تفتيح طبيعي بالمناطق اللي بتبرز بالجسم. الخياطة باللون البرتقالي أو الذهبي وريح كتير
21379,رجالي,تياب,تياب قسم سفلي,بناطلين رياضة,أسود,خريفي,كاجوال,بنطلون رياضة قطن بينربط بمطاط عليه اشارة فريق طابة من جهة ومن الجهة التانية مكتوب اسم الفريق مانشتتر
53759,رجالي,تياب,تياب قسم علوي,كنزات,رمادي,صيفي,كاجوال,
1855,رجالي,تياب,تياب قسم علوي,كنزات,رمادي,صيفي,كاجوال,
30805,رجالي,تياب,تياب قسم علوي,قمصان,أخضر,صيفي,تراثي,
26960,نسواني,تياب,تياب قسم علوي,قمصان,بنفسجي,صيفي,كاجوال,
12369,رجالي,تياب,تياب قسم علوي,قمصان,بنفسجي,خريفي,رسمي,
42419,بناتي,تياب,تياب قسم علوي,توبات,أبيض,صيفي,كاجوال,
13089,رجالي,تياب,تياب قسم علوي,كنزات شتوية قطن,رمادي,خريفي,رياضي,
7990,رجالي,تياب,تياب قسم علوي,كنزات,كحلي,خريفي,رياضي,
37812,رجالي,تياب,تياب قسم علوي,قمصان,كحلي,صيفي,رسمي,
4729,ولادي,تياب,تياب قسم علوي,كنزات,أخضر,صيفي,كاجوال,
56825,رجالي,تياب,تياب قسم علوي,قمصان,بني,صيفي,كاجوال,
20099,نسواني,تياب,تياب قسم علوي,كُرتات,أخضر,خريفي,تراثي,
3954,نسواني,تياب,تياب قسم علوي,كنزات,زهري,صيفي,كاجوال,
28690,نسواني,تياب,تياب قسم علوي,كُرتات,بيج,صيفي,تراثي,
8580,رجالي,تياب,تياب قسم علوي,صدرية,رمادي,خريفي,كاجوال,
18005,رجالي,تياب,تياب قسم سفلي,شورتات,أسود,صيفي,رياضي,
9452,رجالي,تياب,تياب قسم علوي,قمصان,أحمر,خريفي,رسمي,
45856,نسواني,تياب,تياب قسم علوي,كُرتات,بني,صيفي,تراثي,
5891,رجالي,تياب,تياب قسم علوي,كنزات,أسود,صيفي,كاجوال,
38630,نسواني,تياب,تياب قسم علوي,كنزات,بنفسجي,صيفي,كاجوال,
4943,رجالي,تياب,تياب قسم علوي,قمصان,أبيض,صيفي,كاجوال,
